time,raw_phoneme,F1,F2,F3,duration,word,phoneme
60.07398537,e,297.6163617,1607.524189,2167.213821,0.138395735,ElEw(d)a,E
60.27004599,e,399.9242766,1631.205162,2368.343831,0.129169353,ElEw(d)a,E
60.55260395,a,557.3586434,1484.544218,2561.465012,0.117636375,ElEw(d)a,a
61.76263938,e,316.3058463,1596.517256,2243.806793,0.140702331,ElEw(d)a,E
61.96561979,e,384.2722261,1585.999843,2309.871371,0.117636375,ElEw(d)a,E
62.25740414,a,460.6213641,1510.104066,2605.100718,0.083037441,ElEw(d)a,a
64.70515437,i,376.1395516,1905.268439,2318.48352,0.202980411,nis,i
65.29794944,e,426.5243781,1768.928529,2453.961864,0.110716588,Elhilcu',E
65.51938261,i,364.9816689,1729.874224,2239.692012,0.118789673,Elhilcu',i
65.85960546,u,361.9781642,1210.178261,2223.099387,0.163768286,Elhilcu',u
66.8834728,i,380.4695689,1872.481344,2352.030042,0.200673816,nis,i
67.1960165,e,413.8721134,1723.614445,1868.068673,0.1568485,Elhilcu',E
67.43878569,i,387.8334754,1941.030334,2411.567474,0.110716588,Elhilcu',i
67.73345327,u,334.5915567,1432.889157,2341.24727,0.096877014,Elhilcu',u
69.57387929,a,782.7256624,1222.099694,2489.160053,0.145315522,cala,a
70.10554957,e,424.8445418,1724.653859,2498.726117,0.175301264,bEm,E
71.43537332,t,1041.419247,2004.22419,2948.513923,0.027679147,cala,
71.46766566,Ÿ,297.2864107,1650.938172,2960.567574,0.036905529,cala,
71.53686352,a,577.0530195,1288.083492,2476.044702,0.101490206,cala,a
71.65680649,l,415.5347842,1080.689629,2458.466244,0.138395735,cala,
71.79404893,a,659.8027198,1290.024823,2584.685258,0.136089139,cala,a
71.90130563,b,190.1951752,1049.543226,2415.490136,0.07842425,bEm,
72.02701509,e,411.3323091,1625.297778,2469.749336,0.172994669,bEm,E
72.14811135,m,223.0269321,1678.530961,2355.898481,0.069197867,bEm,
77.61200828,p,786.5737904,1715.930653,2631.792259,0.036905529,pE,
77.87726677,e,313.4296271,2187.433768,2601.04614,0.493611455,pE,E
90.23481708,h,946.9651122,1969.093325,3073.277679,0.05766489,hoon,
90.38013261,o,435.5176227,864.0306483,2165.625396,0.232966154,hoon,oo
90.53006132,n,329.8326034,1093.187403,2425.218538,0.066891272,hoon,
90.59571588,p,219.773984,982.4698419,2456.888519,0.064417848,pEl,
90.6809765,e,505.1900433,1608.985462,2321.923997,0.106103397,pEl,E
90.77324032,l,458.7051,1194.771069,2310.590497,0.07842425,pEl,
90.82946985,h,782.2627121,1169.784931,2566.379423,0.034034807,hay,
90.91626177,a,772.7467554,1326.024399,2697.684806,0.139549033,hay,a
91.03159155,y,462.3312064,1775.536859,2393.956681,0.091110526,hay,
91.1123224,l,329.8813726,1623.988912,2452.424545,0.070351165,le,
91.29375563,e,345.0145874,1785.773121,2438.041506,0.292515297,le,e
92.03979997,h,834.0536504,1947.666792,3272.138493,0.048438507,hoon,
92.17473581,o,470.5663347,944.1140351,2500.319979,0.221433176,hoon,o
92.32466452,n,315.8232901,1060.029193,2492.815333,0.07842425,hoon,
92.40539537,p,219.9615715,1499.4765,2704.02744,0.083037441,pEl,
92.49650589,e,496.1941453,1606.411838,2355.960889,0.09918361,pEl,E
92.57839004,l,446.0978889,1296.581191,2429.943011,0.064584676,pEl,
92.65421937,h,797.1509477,1258.924446,2661.611361,0.087073983,hay,
92.7395634,a,678.8078111,1390.847177,2658.145476,0.08361409,hay,a
92.82750236,y,467.0190347,1777.196702,2337.738525,0.092263823,hay,
92.91861288,l,315.1083833,1611.04581,2506.26309,0.089957228,le,
93.11352021,e,436.5931495,1725.288629,2417.415162,0.299857426,le,E
100.0708864,w,362.3950219,922.1389286,2161.075505,0.138395735,weyam,
100.1781431,e,509.2441427,1539.597011,2233.169303,0.076117654,weyam,e
100.2646404,y,617.5938741,1606.438852,2351.1978,0.096877014,weyam,
100.3822768,a,715.7113104,1160.894608,2164.976962,0.138395735,weyam,
100.5160594,m,253.068404,1325.342492,2440.889725,0.129169353,weyam,
101.5613279,w,356.83285,907.2281823,2137.43805,0.108409992,weyam,
101.6547451,e,516.1403543,1543.088297,2192.275153,0.07842425,weyam,e
101.7227896,y,543.2573377,1577.898689,2303.501643,0.05766489,weyam,
101.8265864,a,683.2557169,1237.925771,2371.007629,0.149928713,weyam,
101.9695954,m,185.743294,1363.049644,2509.851808,0.136089139,weyam,
109.0473825,b,190.3594533,1371.444769,2285.818383,0.040942072,bea,
109.1382047,e,525.2681178,1672.749752,2397.725191,0.140702331,bea,e
109.3754957,a,677.7945396,1279.012919,2671.117742,0.333879711,bea,
110.1938415,b,258.3580297,1312.595022,2263.2814,0.062278081,bea,
110.2826454,e,464.3418019,1634.095987,2383.973953,0.115329779,bea,e
110.4547751,a,511.1811575,1137.513202,2436.961484,0.228929612,bea,
125.6319905,p,575.4645731,1387.557113,2395.932199,0.053806816,panoL,
125.733243,a,542.2806339,1171.260746,2132.213823,0.14869827,panoL,a
125.8739454,l,352.4937926,1423.671713,2608.23141,0.132706391,panoL,
125.9581747,n,574.6058495,1272.478268,2478.655863,0.035752232,panoL,
126.0688527,o,446.6474433,897.2745995,2534.881961,0.185603799,panoL,o
126.3170108,L,1787.771237,2171.836521,3593.897198,0.310712431,panoL,
126.8214673,p,313.1571392,1662.058113,2031.822289,0.027679147,panoL,
126.9108479,a,555.273514,1219.415866,2411.292232,0.151082011,panoL,
127.0521268,n,310.1628367,1300.056676,2571.134193,0.131475948,panoL,
127.1755297,o,415.7468346,997.5963862,2226.668278,0.115329779,panoL,o
127.2695235,h,328.6047978,900.3956068,2496.121724,0.072657761,panoL,
129.9355998,t,1878.59759,2451.913666,3236.71612,0.047861858,tlawi,
129.9814434,l,382.8349592,1160.439168,2496.755693,0.043825316,tlawi,
130.0667874,a,708.7766786,1275.460108,3115.979208,0.126862757,tlawi,a
130.1803873,w,382.8936184,931.1691121,2278.988215,0.100336908,tlawi,
130.3490571,i,336.9170132,1995.953078,2379.39703,0.237002696,tlawi,i
131.4029448,t,975.3818046,2088.572648,2258.396869,0.043825316,tlawi,
131.4519599,l,386.055909,1175.586501,2566.664223,0.054204996,tlawi,
131.5419172,a,676.1261915,1201.176654,2536.782732,0.125709459,tlawi,a
131.6566703,w,385.1130227,995.1863864,2285.28391,0.103796801,tlawi,
131.8642639,i,333.0913456,1945.090671,2383.066055,0.311390404,tlawi,i
133.1106283,tŸ,610.9637025,1855.884348,2790.475325,0.073811059,cansEm,
133.2178063,a,704.1765123,1243.779167,2498.005603,0.140544867,cansEm,a
133.4069471,K,309.0599852,972.2010207,2407.020988,0.237736809,cansEm,
133.5604145,s,1060.736453,2334.593688,3025.20385,0.069197867,cansEm,
133.6492184,e,499.8742843,1553.751824,2287.538243,0.108409992,cansEm,E
133.779541,m,246.1956653,1456.899877,2402.087122,0.152235308,cansEm,
134.0717592,,1447.790597,2373.347297,3513.389814,0.432200975,cansEm,
134.3220477,tŸ,608.6612321,1632.644111,2928.412504,0.068376016,cansEm,
134.4108509,a,776.6086277,1340.776541,3025.158117,0.109230348,cansEm,a
134.5865623,K,300.9797336,1814.590047,2415.886152,0.242192536,cansEm,
134.7333635,s,354.597521,1787.884708,2780.57326,0.05140979,cansEm,
134.8155799,e,547.7294773,1561.124618,2251.510071,0.113023184,cansEm,E
134.9744034,m,263.3777768,1500.726261,2436.081807,0.204623816,cansEm,
179.4758483,b,186.018331,2281.44271,3147.763021,0.076117654,boya,
179.563499,o,365.8739689,912.9012937,2359.791358,0.09918361,boya,o
179.6903617,y,299.3276288,1979.534935,2289.107966,0.154541904,boya,
179.8679696,a,644.9435848,1247.62757,2516.674698,0.200673816,boya,a
180.6562519,b,231.973484,2063.712005,3079.285246,0.054781645,boya,
180.7395776,o,337.8656836,994.6398018,2201.461137,0.111869886,boya,o
180.8652871,y,315.8011463,1943.181605,2342.77497,0.139549033,boya,
181.0057011,a,479.9148682,1334.80458,2361.910478,0.141278979,boya,a
182.8586354,e,287.42353,1666.576198,2363.055994,0.122338966,ElEwa,E
182.9578638,l,311.8119132,1552.519054,1646.492203,0.076117654,ElEwa,
183.0778067,e,392.7034766,1692.006782,2495.752477,0.163768286,ElEwa,E
183.2098593,w,393.7564125,1125.521286,2320.460983,0.100336908,ElEwa,
183.351715,a,243.6297742,1209.388319,2576.264993,0.183374349,ElEwa,a
184.0845189,e,302.9049273,1655.263498,2306.952715,0.125709459,ElEwa,E
184.181396,l,315.8667839,1256.967884,1742.845227,0.06804457,ElEwa,
184.2696232,e,450.9948651,1680.756789,2478.187755,0.108409992,ElEwa,E
184.3739967,w,418.1126918,1578.199211,2390.471626,0.100336908,ElEwa,
184.4968229,a,160.254469,1190.734655,2355.086624,0.145315522,ElEwa,a
202.5708871,e,390.6699649,1639.801775,2263.912032,0.129169353,ElEwa,E
202.6723773,l,358.9887428,1522.90861,2444.000245,0.073811059,ElEwa,
202.771561,e,469.7077818,1653.759737,2379.679383,0.124556161,ElEwa,E
202.8776643,w,434.8378386,1522.865814,2367.997218,0.087650632,ElEwa,
202.9999139,a,397.0966327,907.0555655,2353.361236,0.1568485,ElEwa,a
203.5139994,e,322.9077213,1758.329949,2270.876154,0.1568485,ElEwa,E
203.6201028,l,303.1351228,1518.148041,2142.823291,0.055358294,ElEwa,
203.7042935,e,396.2525866,1671.275433,2395.920294,0.113023184,ElEwa,E
203.7977106,w,379.5386644,1347.012428,2235.658806,0.073811059,ElEwa,
203.9015074,a,186.6704298,1194.729839,2300.922565,0.133782544,ElEwa,a
206.1554796,q,1024.193498,1518.881614,3031.56447,0.053051698,qEl,
206.3100215,e,393.8322925,1589.353559,2417.705654,0.25603211,qEl,E
206.5118487,l,377.5233026,1350.518877,2541.980855,0.147622117,qEl,
207.4276148,q,1154.154052,1635.671006,2848.722246,0.046131912,qEl,
207.560244,e,464.7148486,1597.257141,2256.727593,0.21912658,qEl,E
207.7528448,l,213.460092,1354.891059,2381.845383,0.166074882,qEl,
210.7734509,w,290.1049923,806.5066974,2286.490662,0.124556161,win,
210.8864741,i,364.9974563,1824.377507,2265.360205,0.101490206,win,I
211.0271764,n,227.8392429,2120.201289,2386.883559,0.179914455,win,
211.8471624,w,294.8694648,896.2246827,2314.809744,0.095480026,win,
211.9537206,i,326.7664915,1851.509908,2235.356347,0.117636375,win,I
212.0674423,n,247.7651959,1865.106085,2640.941396,0.109806981,win,
221.0604531,tŸ,861.7748918,1766.304567,2613.127279,0.110716588,cansEm,
221.1896225,a,653.6104575,1321.121571,2516.127441,0.147622117,cansEm,a
221.334938,n,277.2788854,1229.743535,2400.360004,0.143008926,cansEm,
221.443348,s,634.6812449,2328.005721,3146.329606,0.073811059,cansEm,
221.5263854,e,463.1011736,1593.931724,2250.080969,0.092263823,cansEm,E
221.6232624,m,264.7194197,1602.648539,2284.232349,0.101490206,cansEm,
225.0612082,tŸ,238.980961,1607.132629,2569.471342,0.304470617,cansEm,
225.261882,a,618.4902908,1386.955878,2544.430218,0.096877014,cansEm,a
225.3541459,n,326.598694,1301.51122,2409.569872,0.087650632,cansEm,
225.4510229,s,230.3737247,1869.087966,2840.264632,0.106103397,cansEm,
225.5340603,e,349.928358,1566.22937,2203.223229,0.059971485,cansEm,E
225.6124846,m,258.6540447,1145.662843,2187.590219,0.096877014,cansEm,
232.4333248,n,269.5181194,1892.987934,2483.987048,0.087650632,ni,
232.5728738,i,342.0458464,2018.039722,2553.980657,0.191447433,ni,i
233.8269132,n,246.6539657,1638.083899,2354.771353,0.096877014,ni,
233.9883749,i,332.2100064,1962.828977,2445.12783,0.226046367,ni,i
237.0252821,e,365.2079472,1669.852229,2316.314742,0.106103397,ElEt,E
237.1406119,l,332.2543582,1437.845423,2408.30994,0.124556161,ElEt,
237.2974604,e,482.3478804,1659.932011,2405.573101,0.189140838,ElEt,E
237.4543089,t,387.148937,1836.719393,2377.841471,0.124556161,ElEt,
237.5765585,u,320.1969077,1185.555518,2270.71722,0.11994297,un,u
237.7172608,n,281.8312161,1142.581348,2394.899121,0.161461691,un,
238.9902406,e,370.9228453,1591.196597,2226.476718,0.083037441,ElEt,E
239.0940374,l,317.8706603,1429.020543,2268.901244,0.124556161,ElEt,
239.2301265,e,389.2060222,1693.701244,2322.634073,0.147622117,ElEt,E
239.3708289,t,244.4044455,1727.534459,2439.263502,0.133782544,ElEt,
239.4700125,u,294.4020309,1321.603593,2258.174209,0.064584676,un,u
239.5461301,n,252.0265656,1308.306783,2452.564759,0.087650632,un,
241.6755226,m,241.7460198,1267.869816,2305.008748,0.11994297,mi,
241.8231448,i,322.2733261,2047.202234,2440.113166,0.175301264,mi,i
242.9395849,m,238.8745776,1116.951303,2423.807428,0.07842425,mi,
243.0687542,i,325.258394,1996.802615,2539.889705,0.179914455,mi,i
263.2362343,n,252.1556177,1492.322473,1789.065449,0.101490206,nEkcunada,
263.3377245,e,493.6384748,1675.309171,2420.312463,0.101490206,nEkcunada,E
263.4484411,k,366.6542127,2008.545492,3304.957062,0.11994297,nEkcunada,
263.5788529,tŸ,725.7558932,2198.502314,3320.996935,0.140880683,nEkcunada,
263.6895695,u,334.953659,1492.55385,2347.827626,0.080552493,nEkcunada,u
263.7679937,n,325.2821343,1374.577809,2150.544514,0.076296007,nEkcunada,
263.8648708,a,566.404157,1370.495796,2472.956829,0.117458022,nEkcunada,a
263.9558921,d,260.8507675,1424.741091,2498.622308,0.064584676,nEkcunada,
264.1381132,a,572.2122975,1398.398538,2572.026236,0.299857426,nEkcunada,a
270.8031466,n,240.3310651,1599.341578,2099.308166,0.129169353,nis,
270.9530753,i,352.003554,1930.965388,2426.34597,0.170688073,nis,i
271.2898382,s,532.3068317,1686.87041,3079.390392,0.502837837,nis,
271.610455,j,280.6969809,1749.269027,2225.186391,0.138395735,y3moy,
271.7142518,o,516.9206496,983.8664534,2302.123752,0.069197867,y3moy,3
271.7949827,m,299.8004106,912.7646839,2468.447668,0.092263823,y3moy,
271.947218,o,528.4240923,860.9471131,2406.365397,0.212206794,y3moy,o
272.164038,y,379.957765,1690.871597,2295.162349,0.221433176,y3moy,
272.4263717,n,271.8346024,1781.948859,2411.427477,0.073811059,nis,
272.5117157,i,338.52244,1989.238965,2563.625537,0.096877014,nis,i
272.6616444,s,1145.144417,2441.542733,3266.074323,0.202980411,nis,
272.8046533,j,280.5772962,1826.902354,2482.456685,0.083037441,y3moy,
272.8830776,o,474.1587339,1214.357321,2277.415304,0.073811059,y3moy,3
272.977648,m,243.8812354,1368.216301,2402.556494,0.115329779,y3moy,
273.1111215,o,68.5457576,1024.992138,2362.83168,0.151617119,y3moy,o
273.2241446,i,291.7672434,1276.952306,2271.674901,0.074429248,y3moy,
275.5268883,m,234.0187766,925.8293575,2218.446349,0.106103397,mi,
275.6283785,i,361.3550028,1818.628925,2246.565371,0.096877014,mi,i
275.7298687,n,318.8632755,1792.423504,2389.572403,0.106103397,nis,
275.8336655,i,350.2061642,1775.260672,2476.357297,0.101490206,nis,i
275.9420755,s,287.6176373,2201.952052,2761.213957,0.115329779,nis,
276.0291495,y,347.5521846,1645.832882,2080.199426,0.058818187,y3moy,
276.089121,o,432.0647462,972.8523963,2256.043778,0.061124783,y3moy,3
276.1612021,m,507.7966733,2014.961751,2381.901906,0.083037441,y3moy,
276.2540426,o,425.1977878,865.3828417,2239.168714,0.102643503,y3moy,o
